Time,1,2,3,4,5,6,7,8,9,10,11
0.000000,99.999970,-99.999851,99.999970,0.000060,84.000056,3.141105,24.869026,26.387276,45.399013,50.904098,99.999970
0.005000,99.999970,-98.999923,99.999970,0.000060,38.999977,6.279052,48.175397,50.904098,80.901687,87.630694,0.000060
0.010000,99.999970,-97.999877,99.999970,0.000060,78.000014,9.410799,68.454687,71.812574,98.768777,99.950618,-99.999851
0.015000,99.999970,-96.999830,99.999970,0.000060,78.999941,12.533367,84.432786,87.630694,95.105594,84.432786,0.000060
0.020000,99.999970,-95.999902,0.000060,0.000060,91.000026,15.643419,95.105594,97.236937,70.710723,45.399013,99.999970
0.025000,99.999970,-94.999855,0.000060,31.407775,18.999995,18.738092,99.802679,99.950618,30.901732,-6.278932,0.000060
0.030000,99.999970,-93.999928,0.000060,49.242201,33.000054,21.814288,98.228758,95.579332,-15.643300,-56.208197,-99.999851
0.035000,99.999970,-92.999881,0.000060,58.204237,76.000039,24.869026,90.482658,84.432786,-58.778349,-90.482538,0.000060
0.040000,99.999970,-91.999834,0.000060,61.466876,27.000012,27.899088,77.051346,67.301218,-89.100545,-99.556035,99.999970
0.045000,99.999970,-90.999907,0.000060,29.753031,55.000010,30.901732,58.778468,45.399013,-99.999851,-80.901568,0.000060
0.050000,99.999970,-89.999860,0.000060,9.465039,46.999994,33.873739,36.812486,20.278753,-89.100545,-39.714637,-99.999851
0.055000,99.999970,-88.999932,0.000060,-3.158510,61.999980,36.812486,12.533367,-6.278932,-58.778349,12.533367,0.000060
0.060000,99.999970,-87.999886,0.000060,-10.677756,35.999956,39.714756,-12.533248,-32.391610,-15.643300,61.290685,99.999970
0.065000,99.999970,-86.999839,0.000060,-14.830292,50.999942,42.577925,-36.812367,-56.208197,30.901732,92.977708,0.000060
0.070000,99.999970,-85.999911,0.000060,-16.792120,94.999975,45.399013,-58.778349,-76.040451,70.710723,98.768777,-99.999851
0.075000,99.999970,-84.999864,0.000060,-17.356099,91.000026,48.175397,-77.051227,-90.482538,95.105594,77.051346,0.000060
0.080000,99.999970,-83.999937,0.000060,-17.053546,63.000027,50.904098,-90.482538,-98.510808,98.768777,33.873739,99.999970
0.085000,99.999970,-82.999890,0.000060,-16.238035,71.000044,53.582731,-98.228639,-99.556035,80.901687,-18.737973,0.000060
0.090000,99.999970,-81.999843,0.000060,-15.142501,13.999999,56.208316,-99.802560,-93.544310,45.399013,-66.131059,-99.999851
0.095000,99.999970,-80.999916,0.000060,-13.918103,60.000006,58.778468,-95.105475,-80.901568,0.000060,-95.105475,0.000060
0.100000,99.999970,-79.999869,0.000060,-12.661279,0.999987,61.290685,-84.432667,-62.524144,-45.398894,-97.591585,99.999970
0.105000,99.999970,-78.999822,0.000060,-11.431277,23.999990,63.742343,-68.454568,-39.714637,-80.901568,-72.896783,0.000060
0.110000,99.999970,-77.999894,0.000060,-10.263384,12.999953,66.131179,-48.175278,-14.090002,-98.768657,-27.898969,-99.999851
0.115000,99.999970,-76.999848,0.000060,-9.176195,79.999988,68.454687,-24.868907,12.533367,-95.105475,24.869026,0.000060
0.120000,99.999970,-75.999920,0.000060,-8.178175,15.000046,70.710723,0.000060,38.268390,-70.710604,70.710723,99.999970
0.125000,99.999970,-74.999873,0.000060,-7.271111,40.000024,72.896902,24.869026,61.290685,-30.901613,96.858328,0.000060
0.130000,99.999970,-73.999827,0.000060,-6.452740,12.000025,75.011079,48.175397,79.968517,15.643419,96.029347,-99.999851
0.135000,99.999970,-72.999899,0.000060,-5.718291,10.000051,77.051346,68.454687,92.977708,58.778468,68.454687,0.000060
0.140000,99.999970,-71.999852,0.000060,-5.062044,99.000043,79.015558,84.432786,99.396056,89.100664,21.814288,99.999970
0.145000,99.999970,-70.999925,0.000060,-4.477203,20.999969,80.901687,95.105594,98.768777,99.999970,-30.901613,0.000060
0.150000,99.999970,-69.999878,0.000060,-3.957451,50.999942,82.708066,99.802679,91.140335,89.100664,-75.010960,-99.999851
0.155000,99.999970,-68.999831,0.000060,-3.496230,83.000009,84.432786,98.228758,77.051346,58.778468,-98.228639,0.000060
0.160000,99.999970,-67.999903,0.000060,-3.087461,61.000053,86.074179,90.482658,57.500545,15.643419,-94.087904,99.999970
0.165000,99.999970,-66.999857,0.000060,-2.725780,28.999986,87.630694,77.051346,33.873739,-30.901613,-63.742224,0.000060
0.170000,99.999970,-65.999929,0.000060,-2.405822,63.000027,89.100664,58.778468,7.845939,-70.710604,-15.643300,-99.999851
0.175000,99.999970,-64.999882,0.000060,-2.123058,51.999989,90.482658,36.812486,-18.737973,-95.105475,36.812486,0.000060
0.180000,99.999970,-63.999835,0.000060,-1.873314,48.999968,91.775482,12.533367,-43.993774,-98.768657,79.015558,99.999970
0.185000,99.999970,-62.999908,0.000060,-1.652658,96.999949,92.977708,-12.533248,-66.131059,-80.901568,99.211520,0.000060
0.190000,99.999970,-61.999861,0.000060,-1.457989,28.999986,94.088024,-36.812367,-83.580559,-45.398894,91.775482,-99.999851
0.195000,99.999970,-60.999934,0.000060,-1.286089,76.999967,95.105594,-58.778349,-95.105475,0.000060,58.778468,0.000060
0.200000,99.999970,-59.999887,0.000060,-1.134455,51.999989,96.029347,-77.051227,-99.888867,45.399013,9.410799,99.999970
0.205000,99.999970,-58.999840,0.000060,-1.000583,76.000039,96.858328,-90.482538,-97.591585,80.901687,-42.577806,0.000060
0.210000,99.999970,-57.999912,0.000060,-0.882447,40.000024,97.591704,-98.228639,-88.376468,98.768777,-82.707946,-99.999851
0.215000,99.999970,-56.999866,0.000060,-0.778377,89.000052,98.228758,-99.802560,-72.896783,95.105594,-99.802560,0.000060
0.220000,99.999970,-55.999938,0.000060,-0.686467,28.000058,98.768777,-95.105475,-52.249733,70.710723,-89.100545,99.999970
0.225000,99.999970,-54.999891,0.000060,-0.605404,35.000028,99.211520,-84.432667,-27.898969,30.901732,-53.582612,0.000060
0.230000,99.999970,-53.999844,0.000060,-0.533879,79.999988,99.556154,-68.454568,-1.570642,-15.643300,-3.140986,-99.999851
0.235000,99.999970,-52.999917,0.000060,-0.470817,91.000026,99.802679,-48.175278,24.869026,-58.778349,48.175397,0.000060
0.240000,99.999970,-51.999870,0.000060,-0.415266,5.999983,99.950618,-24.868907,49.545827,-89.100545,86.074179,99.999970
0.245000,99.999970,-50.999823,0.000060,-0.366271,94.000047,99.999970,0.000060,70.710723,-99.999851,99.999970,0.000060
0.250000,99.999970,-49.999896,0.000060,-0.322998,51.999989,99.950618,24.869026,86.863106,-89.100545,86.074179,-99.999851
0.255000,99.999970,-48.999849,0.000060,-0.284851,7.999957,99.802679,48.175397,96.858328,-58.778349,48.175397,0.000060
0.260000,99.999970,-47.999921,0.000060,-0.251114,18.999995,99.556154,68.454687,99.987692,-15.643300,-3.140986,99.999970
0.265000,99.999970,-46.999875,0.000060,-0.221550,66.000048,99.211520,84.432786,96.029347,30.901732,-53.582612,0.000060
0.270000,99.999970,-45.999828,0.000060,-0.195324,89.000052,98.768777,95.105594,85.264032,70.710723,-89.100545,-99.999851
0.275000,99.999970,-44.999900,0.000060,-0.172198,33.999982,98.228758,99.802679,68.454687,95.105594,-99.802560,0.000060
0.280000,99.999970,-43.999853,0.000060,-0.151932,5.999983,97.591704,98.228758,46.792927,98.768777,-82.707946,99.999970
0.285000,99.999970,-42.999926,0.000060,-0.133932,2.000034,96.858328,90.482658,21.814288,80.901687,-42.577806,0.000060
0.290000,99.999970,-41.999879,0.000060,-0.118077,45.000019,96.029347,77.051346,-4.710496,45.399013,9.410799,-99.999851
0.295000,99.999970,-40.999832,0.000060,-0.104129,5.999983,95.105594,58.778468,-30.901613,0.000060,58.778468,0.000060
0.300000,99.999970,-39.999905,0.000060,-0.091851,22.999944,94.088024,36.812486,-54.902140,-45.398894,91.775482,99.999970
0.305000,99.999970,-38.999858,0.000060,-0.081003,96.999949,92.977708,12.533367,-75.010960,-80.901568,99.211520,0.000060
0.310000,99.999970,-37.999930,0.000060,-0.071347,89.999979,91.775482,-12.533248,-89.802688,-98.768657,79.015558,-99.999851
0.315000,99.999970,-36.999883,0.000060,-0.063002,84.999984,90.482658,-36.812367,-98.228639,-95.105475,36.812486,0.000060
0.320000,99.999970,-35.999837,0.000060,-0.055492,25.999965,89.100664,-58.778349,-99.691576,-70.710604,-15.643300,99.999970
0.325000,99.999970,-34.999909,0.000060,-0.048935,53.000036,87.630694,-77.051227,-94.087904,-30.901613,-63.742224,0.000060
0.330000,99.999970,-33.999862,0.000060,-0.043094,37.000003,86.074179,-90.482538,-81.814830,15.643419,-94.087904,-99.999851
0.335000,99.999970,-32.999935,0.000060,-0.038087,76.000039,84.432786,-98.228639,-63.742224,58.778468,-98.228639,0.000060
0.340000,99.999970,-31.999888,0.000060,-0.033557,50.999942,82.708066,-99.802560,-41.151347,89.100664,-75.010960,99.999970
0.345000,99.999970,-30.999841,0.000060,-0.029504,66.000048,80.901687,-95.105475,-15.643300,99.999970,-30.901613,0.000060
0.350000,99.999970,-29.999914,0.000060,-0.026047,53.000036,79.015558,-84.432667,10.973395,89.100664,21.814288,-99.999851
0.355000,99.999970,-28.999867,0.000060,-0.022948,2.999962,77.051346,-68.454568,36.812486,58.778468,68.454687,0.000060
0.360000,99.999970,-27.999939,0.000060,-0.020206,43.000045,75.011079,-48.175278,60.041968,15.643419,96.029347,99.999970
0.365000,99.999970,-26.999892,0.000060,-0.017822,93.000000,72.896902,-24.868907,79.015558,-30.901613,96.858328,0.000060
0.370000,99.999970,-25.999846,0.000060,-0.015676,93.000000,70.710723,0.000060,92.387980,-70.710604,70.710723,-99.999851
0.375000,99.999970,-24.999918,0.000060,-0.013888,71.999971,68.454687,24.869026,99.211520,-95.105475,24.869026,0.000060
0.380000,99.999970,-23.999871,0.000060,-0.012219,28.000058,66.131179,48.175397,99.002308,-98.768657,-27.898969,99.999970
0.385000,99.999970,-22.999824,0.000060,-0.010788,73.000018,63.742343,68.454687,91.775482,-80.901568,-72.896783,0.000060
0.390000,99.999970,-21.999897,0.000060,-0.009477,63.000027,61.290685,84.432786,78.043048,-45.398894,-97.591585,-99.999851
0.395000,99.999970,-20.999850,0.000060,-0.008285,35.000028,58.778468,95.105594,58.778468,0.000060,-95.105475,0.000060
0.400000,99.999970,-19.999923,0.000060,-0.007331,68.000023,56.208316,99.802679,35.347523,45.399013,-66.131059,99.999970
0.405000,99.999970,-18.999876,0.000060,-0.006497,15.999974,53.582731,98.228758,9.410799,80.901687,-18.737973,0.000060
0.410000,99.999970,-17.999829,0.000060,-0.005662,43.999973,50.904098,90.482658,-17.192782,98.768777,33.873739,-99.999851
0.415000,99.999970,-16.999901,0.000060,-0.004947,88.000005,48.175397,77.051346,-42.577806,95.105594,77.051346,0.000060
0.420000,99.999970,-15.999855,0.000060,-0.004351,81.999962,45.399013,58.778468,-64.944688,70.710723,98.768777,99.999970
0.425000,99.999970,-14.999927,0.000060,-0.003874,33.000054,42.577925,36.812486,-82.707946,30.901732,92.977708,0.000060
0.430000,99.999970,-13.999880,0.000060,-0.003397,22.000016,39.714756,12.533367,-94.608372,-15.643300,61.290685,-99.999851
0.435000,99.999970,-12.999833,0.000060,-0.002921,89.000052,36.812486,-12.533248,-99.802560,-58.778349,12.533367,0.000060
0.440000,99.999970,-11.999906,0.000060,-0.002563,35.000028,33.873739,-36.812367,-97.922152,-89.100545,-39.714637,99.999970
0.445000,99.999970,-10.999859,0.000060,-0.002325,68.000023,30.901732,-58.778349,-89.100545,-99.999851,-80.901568,0.000060
0.450000,99.999970,-9.999931,0.000060,-0.001967,94.999975,27.899088,-77.051227,-73.962991,-89.100545,-99.556035,-99.999851
0.455000,99.999970,-8.999885,0.000060,-0.001729,58.000032,24.869026,-90.482538,-53.582612,-58.778349,-90.482538,0.000060
0.460000,99.999970,-7.999838,0.000060,-0.001490,65.000001,21.814288,-98.228639,-29.403867,-15.643300,-56.208197,99.999970
0.465000,99.999970,-6.999910,0.000060,-0.001371,84.999984,18.738092,-99.802560,-3.140986,30.901732,-6.278932,0.000060
0.470000,99.999970,-5.999864,0.000060,-0.001132,43.000045,15.643419,-95.105475,23.344578,70.710723,45.399013,-99.999851
0.475000,99.999970,-4.999936,0.000060,-0.001013,91.999954,12.533367,-84.432667,48.175397,95.105594,84.432786,0.000060
0.480000,99.999970,-3.999889,0.000060,-0.000894,38.999977,9.410799,-68.454568,69.591228,98.768777,99.950618,99.999970
